Transmission,X co-ordinate of Willie,,,,,,,,,,,,,,,,,,,,,,
,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12
Beamformed,0.0045,0.0022,0.0022,0.0045,0.0089,0.0089,0.0089,0.0067,0.0134,0.0067,0.0112,0.0156,0.0022,0.0112,0.0045,"
    0.0112",0.0201,0.0022,0.0491,"
    0.0156",0.0022,0.0156,0.0112
Unbeamformed,0.0179,0.0067,0.0112,0.0089,"
    0.0112",0.0112,"
    0.0112","
    0.0134",0.0179,0.0246,0.0134,0.0335,0.0201,0.0402,0.0201,0.0491,0.058,0.0223,0.0781,0.0379,0.058,0.0446,0.1496
