Transmission,X co-ordinate of Willie,,,,,,,,,,,,,,,,,,,,,,
,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12
Beamformed,11.9241,13.4821,15.6702,11.7324,13.5879,15.1145,13.2538,13.7395,13.494,12.6177,12.8401,11.8098,11.4123,10.3436,10.3283,10.4547,8.6111,11.9157,8.7394,11.4987,9.9224,10.0348,7.3245
Unbeamformed,9.1324,11.9862,14.9825,11.1582,15.5732,14.5414,13.1934,9.9022,6.7674,9.7892,8.2777,6.6669,5.7625,6.2849,7.363,6.9239,6.5508,6.1256,6.8015,6.1558,6.1464,5.2219,3.567
