Transmission,X co-ordinate of Willie,,,,,,,,
,-60,-45,-30,-15,0,15,30,45,60
Beamformed,0.0826,0.0089,0.001,0.0011,0.0011,0,0.0022,0.0045,0.0513
Unbeamformed,0.3973,0.2478,0.0312,0.0424,0.0016,0.0022,0.0134,0.0915,0.2076
