Transmission,X co-ordinate of Willie,,,,,,,,,,,,
,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60
Beamformed,0.0826,0.0463,0.0089,0.001,0.0011,0.0011,0.0011,0,0.0011,0.0022,0.0045,0.0342,0.0513
Unbeamformed,0.2173,0.1811,0.1178,0.0312,0.0224,0.0234,0.0016,0.0022,0.0154,0.0134,0.0915,0.1776,0.2076
