Transmission,X co-ordinate of Willie,,,,,,,,,,,,
,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60
Beamformed,2.6012,3.45,6.4773,13.5481,13.88,15.5449,19.78,19.0049,17.87,16.249,11.3202,6.65,4.6336
Unbeamformed,2.5786,2.98,3.33,4.6823,4.87,5.5166,18.23,"13.5345",10.54,7.2656,6.37,4.73,1.8762
