Transmission,,,,,,,,,
,-60,-45,-30,-15,0,15,30,45,60
Beamformed,2.6012,6.4773,13.5481,15.5449,19.78,19.0049,16.249,11.3202,4.6336
Unbeamformed,2.5786,0.2133,4.6823,5.5166,18.23,"
   13.5345",7.2656,0.9467,1.8762
